id,new_date,y0,y1,y2,y3
raydium,2025-04-02,,2.1767995357513428,0.253348171710968,
raydium,2025-04-03,,2.2895617485046387,0.24232548475265503,
raydium,2025-04-04,,2.204454183578491,0.2386479526758194,
raydium,2025-04-05,,2.033236026763916,0.2415599524974823,
raydium,2025-04-06,,2.0290493965148926,0.23633791506290436,
raydium,2025-04-07,,2.1043190956115723,0.23378273844718933,
raydium,2025-04-08,,2.1094346046447754,0.23672281205654144,
raydium,2025-04-09,,2.0289406776428223,0.23548643290996552,
raydium,2025-04-10,,1.9401626586914062,0.23864927887916565,
raydium,2025-04-11,,1.92612624168396,0.24896124005317688,
raydium,2025-04-12,,1.8089185953140259,0.2594982385635376,
raydium,2025-04-13,,1.5599652528762817,0.284604012966156,
raydium,2025-04-14,,1.4260567426681519,0.2763180732727051,
raydium,2025-04-15,,1.5607515573501587,0.270437091588974,
raydium,2025-04-16,,1.469109296798706,0.27127745747566223,
raydium,2025-04-17,,1.4951897859573364,0.26822954416275024,
raydium,2025-04-18,,1.4853686094284058,0.2689923346042633,
raydium,2025-04-19,,1.555212140083313,0.2718723714351654,
raydium,2025-04-20,,1.610046625137329,0.2564402222633362,
raydium,2025-04-21,,1.7044776678085327,0.24388454854488373,
raydium,2025-04-22,,1.7538725137710571,0.23975764214992523,
raydium,2025-04-23,,1.7706044912338257,0.24091793596744537,
raydium,2025-04-24,,1.7096831798553467,0.24178466200828552,
raydium,2025-04-25,,1.6179094314575195,0.23747996985912323,
raydium,2025-04-26,,1.5995619297027588,0.23938670754432678,
raydium,2025-04-27,,1.541129469871521,0.2363661825656891,
raydium,2025-04-28,,1.6063628196716309,0.23657499253749847,
raydium,2025-04-29,,1.546379566192627,0.23859165608882904,
raydium,2025-04-30,,1.4768280982971191,0.2392844259738922,
raydium,2025-05-01,,1.4069092273712158,0.22991546988487244,
raydium,2025-05-02,,1.5013514757156372,0.2243422120809555,
raydium,2025-05-03,,1.5910149812698364,0.2249600887298584,
raydium,2025-05-04,,1.648776650428772,0.2291441261768341,
raydium,2025-05-05,,1.6594046354293823,0.22706238925457,
raydium,2025-05-06,,1.725617527961731,0.22509640455245972,
raydium,2025-05-07,,1.7551935911178589,0.22260010242462158,
raydium,2025-05-08,,1.6465824842453003,0.20790958404541016,
raydium,2025-05-09,,1.663945198059082,0.19852565228939056,
raydium,2025-05-10,,1.728965401649475,0.19571563601493835,
raydium,2025-05-11,,1.6449040174484253,0.19200080633163452,
raydium,2025-05-12,,1.6331655979156494,0.18476775288581848,
raydium,2025-05-13,,1.5900672674179077,0.18890716135501862,
raydium,2025-05-14,,1.5476148128509521,0.18956144154071808,
raydium,2025-05-15,,1.55781090259552,0.1908816397190094,
raydium,2025-05-16,,1.7222894430160522,0.1896025538444519,
raydium,2025-05-17,,1.810521125793457,0.1893051415681839,
raydium,2025-05-18,,1.877455234527588,0.22642578184604645,
raydium,2025-05-19,,1.8356332778930664,0.21723902225494385,
raydium,2025-05-20,,1.945278525352478,0.2073211371898651,
raydium,2025-05-21,,1.9332202672958374,0.20071041584014893,
raydium,2025-05-22,,1.8998477458953857,0.20368188619613647,
raydium,2025-05-23,,1.8370747566223145,0.20120230317115784,
raydium,2025-05-24,,1.7899787425994873,0.2002996802330017,
raydium,2025-05-25,,1.8409029245376587,0.19569823145866394,
raydium,2025-05-26,,1.7929050922393799,0.19523298740386963,
raydium,2025-05-27,,1.8463248014450073,0.1956016719341278,
raydium,2025-05-28,,1.8530040979385376,0.19794872403144836,
raydium,2025-05-29,,1.8245497941970825,0.19744820892810822,
raydium,2025-05-30,,1.766467571258545,0.19707944989204407,
raydium,2025-05-31,,1.7562862634658813,0.2262072116136551,
raydium,2025-06-01,,1.7226711511611938,0.22059676051139832,
raydium,2025-06-02,,1.6963231563568115,0.21297676861286163,
raydium,2025-06-03,,1.7154768705368042,0.22065915167331696,
raydium,2025-06-04,,1.7601321935653687,0.21770015358924866,
raydium,2025-06-05,,1.816724419593811,0.22027233242988586,
raydium,2025-06-06,,1.8385603427886963,0.21312855184078217,
raydium,2025-06-07,,1.8073481321334839,0.20340341329574585,
raydium,2025-06-08,,1.6766536235809326,0.19525666534900665,
raydium,2025-06-09,,1.6424462795257568,0.1979963630437851,
raydium,2025-06-10,,1.6312999725341797,0.17262767255306244,
raydium,2025-06-11,,1.5111135244369507,0.17227542400360107,
raydium,2025-06-12,,1.5253708362579346,0.1697773039340973,
raydium,2025-06-13,,1.4957923889160156,0.17247632145881653,
raydium,2025-06-14,,1.5299965143203735,0.17212539911270142,
raydium,2025-06-15,,1.6633702516555786,0.16450180113315582,
raydium,2025-06-16,,1.7280828952789307,0.17542463541030884,
raydium,2025-06-17,,1.6530601978302002,0.17742925882339478,
raydium,2025-06-18,,1.4542826414108276,0.17303217947483063,
raydium,2025-06-19,,1.5194429159164429,0.16999009251594543,
raydium,2025-06-20,,1.5732808113098145,0.17647385597229004,
raydium,2025-06-21,,1.5249605178833008,0.18267112970352173,
raydium,2025-06-22,,1.5258616209030151,0.18824678659439087,
raydium,2025-06-23,,1.4968689680099487,0.20168791711330414,
raydium,2025-06-24,,1.4225651025772095,0.19522665441036224,
raydium,2025-06-25,,1.5171633958816528,0.1957452893257141,
raydium,2025-06-26,,1.543306589126587,0.1938331425189972,
raydium,2025-06-27,,1.6108487844467163,0.19729535281658173,
raydium,2025-06-28,,1.6479953527450562,0.192789688706398,
raydium,2025-06-29,,1.6373159885406494,0.2169860601425171,
raydium,2025-06-30,,1.6688708066940308,0.2118859589099884,
raydium,2025-07-01,,1.800171971321106,0.20364788174629211,
raydium,2025-07-02,,1.9127498865127563,0.2019318789243698,
raydium,2025-07-03,,1.8138011693954468,0.20520594716072083,
raydium,2025-07-04,,1.670440673828125,0.20273622870445251,
raydium,2025-07-05,,1.5660542249679565,0.20199033617973328,
raydium,2025-07-06,,1.6733731031417847,0.20250509679317474,
raydium,2025-07-07,,1.6594372987747192,0.20558902621269226,
raydium,2025-07-08,,1.6016287803649902,0.21140111982822418,
raydium,2025-07-09,,1.710293173789978,0.20749539136886597,
raydium,2025-07-10,,1.7770631313323975,0.19822868704795837,
raydium,2025-07-11,,1.8391149044036865,0.19864243268966675,
raydium,2025-07-12,,1.8093221187591553,0.19870036840438843,
raydium,2025-07-13,,1.833624005317688,0.19745776057243347,
raydium,2025-07-14,,1.860889196395874,0.21000641584396362,
raydium,2025-07-15,,1.9306131601333618,0.2085934281349182,
raydium,2025-07-16,,2.0167226791381836,0.22355371713638306,
raydium,2025-07-17,,1.9822959899902344,0.23805442452430725,
raydium,2025-07-18,,1.9395601749420166,0.2240736484527588,
raydium,2025-07-19,,2.066763162612915,0.2441783845424652,
raydium,2025-07-20,,2.4526264667510986,0.24904046952724457,
raydium,2025-07-21,,2.520334005355835,0.2567581236362457,
raydium,2025-07-22,,2.4402265548706055,0.22958461940288544,
raydium,2025-07-23,,2.2583649158477783,0.22387684881687164,
raydium,2025-07-24,,2.316506862640381,0.21224091947078705,
raydium,2025-07-25,,2.1952016353607178,0.20697808265686035,
raydium,2025-07-26,,2.367475748062134,0.21051520109176636,
raydium,2025-07-27,,2.4011926651000977,0.22141756117343903,
raydium,2025-07-28,,2.384019136428833,0.21589015424251556,
raydium,2025-07-29,,2.5367088317871094,0.21245077252388,
raydium,2025-07-30,,2.388723850250244,0.2089807093143463,
raydium,2025-07-31,,2.344729423522949,0.20562295615673065,
raydium,2025-08-01,,2.1469008922576904,0.20717301964759827,
raydium,2025-08-02,,1.99110746383667,0.20606328547000885,
raydium,2025-08-03,,1.7968093156814575,0.20347650349140167,
raydium,2025-08-04,,1.6956312656402588,0.20303623378276825,
raydium,2025-08-05,,1.4489669799804688,0.20322030782699585,
raydium,2025-08-06,,1.5835965871810913,0.21087388694286346,
raydium,2025-08-07,,1.6618714332580566,0.21259042620658875,
raydium,2025-08-08,,1.7824002504348755,0.21139732003211975,
raydium,2025-08-09,,1.854311227798462,0.21241892874240875,
raydium,2025-08-10,,1.8686964511871338,0.21027632057666779,
raydium,2025-08-11,,1.860231637954712,0.2087886929512024,
raydium,2025-08-12,,1.8173003196716309,0.2098996490240097,
raydium,2025-08-13,,1.8101412057876587,0.21020279824733734,
raydium,2025-08-14,,1.8258200883865356,0.21071963012218475,
raydium,2025-08-15,,1.7534923553466797,0.21089769899845123,
raydium,2025-08-16,,1.7093689441680908,0.2017277032136917,
raydium,2025-08-17,,1.697439432144165,0.19278769195079803,
raydium,2025-08-18,,1.706093668937683,0.18326766788959503,
raydium,2025-08-19,,1.685727596282959,0.1909608393907547,
raydium,2025-08-20,,1.7197259664535522,0.1939937174320221,
raydium,2025-08-21,,1.6483792066574097,0.18795889616012573,
raydium,2025-08-22,,1.699628233909607,0.18530821800231934,
raydium,2025-08-23,,1.7495784759521484,0.18568110466003418,
raydium,2025-08-24,,1.8884508609771729,0.1862206906080246,
raydium,2025-08-25,,1.8459678888320923,0.18051931262016296,
raydium,2025-08-26,,1.8180372714996338,0.1795530766248703,
raydium,2025-08-27,,1.7355308532714844,0.1805768758058548,
raydium,2025-08-28,,1.6036450862884521,0.17807266116142273,
raydium,2025-08-29,,1.612841010093689,0.17827041447162628,
raydium,2025-08-30,,1.5601686239242554,0.17868879437446594,
raydium,2025-08-31,,1.537970781326294,0.17465509474277496,
raydium,2025-09-01,,1.4917938709259033,0.1684386432170868,
raydium,2025-09-02,,1.4737099409103394,0.17727167904376984,
raydium,2025-09-03,,1.5095453262329102,0.17616795003414154,
raydium,2025-09-04,,1.4855908155441284,0.17994678020477295,
raydium,2025-09-05,,1.495557188987732,0.1780126541852951,
raydium,2025-09-06,,1.436745285987854,0.1758943796157837,
raydium,2025-09-07,,1.4365473985671997,0.17388056218624115,
raydium,2025-09-08,,1.449866533279419,0.1801312267780304,
raydium,2025-09-09,,1.4802360534667969,0.18067800998687744,
raydium,2025-09-10,,1.5098292827606201,0.17407108843326569,
raydium,2025-09-11,,1.4527649879455566,0.16738784313201904,
raydium,2025-09-12,,1.487038493156433,0.16706542670726776,
raydium,2025-09-13,,1.4962965250015259,0.16532009840011597,
raydium,2025-09-14,,1.5263705253601074,0.16865141689777374,
raydium,2025-09-15,,1.5045208930969238,0.16921491920948029,
raydium,2025-09-16,,1.442844033241272,0.17085489630699158,
raydium,2025-09-17,,1.4559776782989502,0.17321957647800446,
raydium,2025-09-18,,1.4480578899383545,0.17604485154151917,
raydium,2025-09-19,,1.5525953769683838,0.173935666680336,
raydium,2025-09-20,,1.6108464002609253,0.1725175380706787,
raydium,2025-09-21,,1.5919815301895142,0.16964209079742432,
raydium,2025-09-22,,1.5518994331359863,0.17085887491703033,
raydium,2025-09-23,,1.5198369026184082,0.1726933717727661,
raydium,2025-09-24,,1.5516388416290283,0.1729431450366974,
raydium,2025-09-25,,1.5710954666137695,0.17142197489738464,
raydium,2025-09-26,,1.5880621671676636,0.16993138194084167,
raydium,2025-09-27,,1.7465293407440186,0.1678534299135208,
raydium,2025-09-28,,1.763062596321106,0.16852699220180511,
raydium,2025-09-29,,1.8250404596328735,0.17046843469142914,
raydium,2025-09-30,,1.8828068971633911,0.17073088884353638,
raydium,2025-10-01,,1.8164136409759521,0.17695975303649902,
raydium,2025-10-02,,1.7001516819000244,0.1788330376148224,
raydium,2025-10-03,,1.620733618736267,0.18981042504310608,
raydium,2025-10-04,,1.6799683570861816,0.19904053211212158,
raydium,2025-10-05,,1.741282343864441,0.18325091898441315,
raydium,2025-10-06,,1.754622459411621,0.17851375043392181,
raydium,2025-10-07,,1.8267126083374023,0.1784040778875351,
raydium,2025-10-08,,1.6833733320236206,0.17567457258701324,
raydium,2025-10-09,,1.6920654773712158,0.16840574145317078,
raydium,2025-10-10,,1.6129258871078491,0.16444803774356842,
raydium,2025-10-11,,1.679694652557373,0.16238965094089508,
raydium,2025-10-12,,1.769149661064148,0.16099056601524353,
raydium,2025-10-13,,1.775734305381775,0.16290532052516937,
raydium,2025-10-14,,1.9474573135375977,0.16479788720607758,
raydium,2025-10-15,,2.07100772857666,0.16463705897331238,
raydium,2025-10-16,,2.0622541904449463,0.16639477014541626,
raydium,2025-10-17,,2.0414106845855713,0.16770029067993164,
raydium,2025-10-18,,2.1392669677734375,0.16277407109737396,
raydium,2025-10-19,,2.1357171535491943,0.1657961905002594,
raydium,2025-10-20,,2.2672648429870605,0.17966732382774353,
raydium,2025-10-21,,2.4300522804260254,0.18327057361602783,
raydium,2025-10-22,,2.5891153812408447,0.18108528852462769,
raydium,2025-10-23,,2.5940163135528564,0.18240247666835785,
